fix.acid,vol.acid,citric,sugar,chlorides,free.sd,total.sd,density,pH,sulphates,alcohol,label
6.8,0.67,0.15,1.8,0.118,13,20,2,3.42,0.67,11.3,GOOD
6.6,0.3,0.25,8,0.036,21,124,2,3.06,0.38,10.8,GOOD
6.6,0.34,0.34,2.6,0.051,40.5,210,2,3.15,0.61,10,BAD
9.9,0.63,0.24,2.4,0.077,6,33,2,3.09,0.57,9.4,BAD
7.8,0.53,0.04,1.7,0.076,17,31,2,3.33,0.56,10,GOOD
6.4,0.37,0.2,5.6,0.117,61,183,2,3.24,0.43,9.5,BAD
11.8,0.26,0.52,1.8,0.071,6,10,2,3.2,0.72,10.2,GOOD
6.1,0.32,0.33,10.7,0.036,27,98,2,3.34,0.52,10.2,GOOD
7.3,0.55,0.01,1.8,0.093,9,15,2,3.35,0.58,11,GOOD
6.6,0.31,0.49,7.7,0.05,52,220,2,3.12,0.45,8.8,BAD
10.3,0.53,0.48,2.5,0.063,6,25,2,3.12,0.59,9.3,GOOD
6.2,0.43,0.49,6.4,0.045,12,115,2,3.27,0.57,9,BAD
6.9,0.29,0.25,12.2,0.04,29,136,2,3.05,0.65,10.4,GOOD
7.3,0.26,0.32,1.2,0.041,29,94,1,3.07,0.45,12,GOOD
8.4,0.715,0.2,2.4,0.076,10,38,2,3.31,0.64,9.4,BAD
5.2,0.365,0.08,13.5,0.041,37,142,2,3.46,0.39,9.9,GOOD
11.9,0.39,0.69,2.8,0.095,17,35,2,3.1,0.61,10.8,GOOD
6,0.23,0.34,1.3,0.025,23,111,1,3.36,0.37,12.7,GOOD
6.7,0.34,0.3,15.6,0.054,51,196,2,3.19,0.49,9.3,BAD
6.1,0.17,0.27,1.5,0.056,45,135,2,3.2,0.43,10.2,GOOD
8.9,0.745,0.18,2.5,0.077,15,48,2,3.2,0.47,9.7,GOOD
7.4,0.28,0.36,1.1,0.028,42,105,1,2.99,0.39,12.4,GOOD
12.5,0.28,0.54,2.3,0.082,12,29,2,3.11,1.36,9.8,GOOD
6.6,0.16,0.21,6.7,0.055,43,157,2,3.15,0.52,10.8,GOOD
6,0.28,0.29,19.3,0.051,36,174,2,3.14,0.5,9,BAD
7.6,0.33,0.36,2.1,0.034,26,172,2,3.42,0.48,10.5,BAD
9.5,0.46,0.24,2.7,0.092,14,44,2,3.12,0.74,10,GOOD
5.9,0.28,0.14,8.6,0.032,30,142,2,3.28,0.44,9.5,GOOD
5.6,0.205,0.16,12.55,0.051,31,115,2,3.4,0.38,10.8,GOOD
6.1,0.4,0.16,1.8,0.069,11,25,2,3.42,0.74,10.1,GOOD
8.2,0.33,0.39,2.5,0.074,29,48,2,3.32,0.88,12.4,GOOD
5.7,0.16,0.26,6.3,0.043,28,113,2,3.06,0.58,9.9,GOOD
5.9,0.61,0.08,2.1,0.071,16,24,2,3.56,0.77,11.1,GOOD
7.5,0.32,0.37,1.2,0.048,22,184,2,3.09,0.43,9.3,BAD
7.2,0.37,0.32,2,0.062,15,28,2,3.23,0.73,11.3,GOOD
11.9,0.58,0.66,2.5,0.072,6,37,2,3.05,0.56,10,BAD
7,0.51,0.09,2.1,0.062,4,9,2,3.35,0.54,10.5,BAD
9.2,0.23,0.3,1.1,0.031,40,99,2,2.94,0.3,10.4,GOOD
7.2,0.655,0.03,1.8,0.078,7,12,2,3.34,0.39,9.5,BAD
6.2,0.28,0.43,13,0.039,64,233,2,3.08,0.38,8.9,BAD
7.8,0.64,0,1.9,0.072,27,55,2,3.31,0.63,11,BAD
7.8,0.26,0.49,3.2,0.027,28,87,2,3.03,0.32,11.3,GOOD
7,0.655,0.16,2.1,0.074,8,25,2,3.37,0.55,9.7,BAD
7.1,0.25,0.49,3,0.03,30,96,2,3.13,0.39,12.3,GOOD
5.8,0.22,0.29,1.3,0.036,25,68,1,3.24,0.35,12.6,GOOD
6.2,0.33,0.14,4.8,0.052,27,128,2,3.21,0.48,9.4,BAD
5.9,0.65,0.23,5,0.035,20,128,2,3.46,0.48,12.8,GOOD
7.3,0.25,0.26,7.2,0.048,52,207,2,3.12,0.37,9.2,BAD
7.8,0.19,0.32,7.4,0.015,47,124,2,2.99,0.39,11,GOOD
7.2,0.25,0.39,18.95,0.038,42,155,2,2.97,0.47,9,GOOD
7.1,0.27,0.28,1.25,0.023,3,89,1,2.95,0.3,11.4,BAD
7.5,0.28,0.41,1.3,0.044,11,126,2,3.28,0.45,10.3,BAD
7.7,0.775,0.42,1.9,0.092,8,86,2,3.23,0.59,9.5,BAD
6.2,0.27,0.32,8.8,0.047,65,224,2,3.17,0.47,8.9,BAD
7.9,0.3,0.27,8.5,0.036,20,112,2,2.96,0.46,11.7,GOOD
7.3,0.18,0.29,1.2,0.044,12,143,2,3.2,0.48,11.3,GOOD
7.8,0.25,0.34,13.7,0.044,66,184,2,3.22,0.75,8.9,BAD
6.1,0.4,0.18,9,0.051,28.5,259,2,3.19,0.5,8.8,BAD
6.1,0.27,0.33,2.2,0.021,26,117,1,3.12,0.3,12.5,GOOD
7,0.28,0.33,14.6,0.043,47,168,2,3.34,0.67,8.8,GOOD
9.7,0.42,0.46,2.1,0.074,5,16,2,3.27,0.74,12.3,GOOD
6.7,0.675,0.07,2.4,0.089,17,82,2,3.35,0.54,10.1,BAD
8,0.22,0.42,14.6,0.044,45,163,3,3.21,0.69,8.6,GOOD
7.5,0.22,0.29,4.8,0.05,33,87,2,3.14,0.42,9.9,BAD
6.9,0.23,0.35,6.9,0.03,45,116,2,2.8,0.54,11,GOOD
7.9,0.22,0.38,8,0.043,46,152,2,3.12,0.32,11.5,GOOD
6,0.28,0.29,19.3,0.051,36,174,2,3.14,0.5,9,BAD
7.1,0.32,0.3,9.9,0.041,63,192,2,3.12,0.49,10.2,GOOD
6.7,0.21,0.34,1.4,0.049,36,112,2,3.02,0.5,11,GOOD
6.5,0.3,0.28,11.45,0.041,29,109,2,2.98,0.3,10.9,GOOD
5.7,0.33,0.15,1.9,0.05,20,93,2,3.38,0.62,9.9,BAD
7.9,0.37,0.31,2.85,0.037,5,24,2,3.19,0.36,11.9,GOOD
8.9,0.32,0.31,2,0.088,12,19,2,3.17,0.55,10.4,GOOD
7.9,0.51,0.25,2.9,0.077,21,45,2,3.49,0.96,12.1,GOOD
5.2,0.36,0.02,1.6,0.031,24,104,1,3.44,0.35,12.2,GOOD
6,0.14,0.17,5.6,0.036,37,127,2,3.05,0.57,9.8,GOOD
7.2,0.65,0.02,2.3,0.094,5,31,2,3.67,0.8,9.7,BAD
7.2,0.27,0.46,18.75,0.052,45,255,2,3.04,0.52,8.9,BAD
6.1,0.41,0.04,1.3,0.036,23,121,2,3.24,0.61,9.9,GOOD
6.2,0.76,0.01,3.2,0.041,18,120,2,3.2,0.94,13.7,GOOD
7.6,0.23,0.64,12.9,0.033,54,170,2,3,0.53,8.8,BAD
7.3,0.26,0.36,5.2,0.04,31,141,2,3.16,0.59,11,GOOD
7.1,0.21,0.37,2.4,0.026,23,100,2,3.15,0.38,11.4,GOOD
7.5,0.43,0.3,2.2,0.062,6,12,2,3.44,0.72,11.5,GOOD
7.3,0.23,0.41,14.6,0.048,73,223,2,3.16,0.71,9.4,GOOD
6.6,0.33,0.41,2,0.027,14,79,2,3.27,0.63,12.4,GOOD
5.9,0.23,0.24,3.8,0.038,61,152,2,3.31,0.5,11.3,GOOD
6.6,0.36,0.47,1.4,0.145,26,124,2,3.09,0.56,10.1,GOOD
6.4,0.42,0.19,9.3,0.043,28,145,2,3.23,0.53,10.98,BAD
7.7,0.3,0.23,2,0.068,28,138,2,3.11,0.62,9.8,BAD
8.3,0.26,0.42,2,0.08,11,27,2,3.21,0.8,9.4,GOOD
8.9,0.27,0.34,10.7,0.029,19.5,166,2,3.13,0.48,10.6,BAD
5.8,0.32,0.31,2.7,0.049,25,153,2,3.44,0.73,12.2,GOOD
7.3,0.36,0.34,14.8,0.057,46,173,2,3.14,0.57,10.2,BAD
8.2,0.28,0.42,1.8,0.031,30,93,2,3.09,0.39,11.4,BAD
9.8,0.5,0.49,2.6,0.25,5,20,2,3.31,0.79,10.7,GOOD
6.7,0.37,0.41,6.3,0.061,22,149,2,3.16,0.47,9.6,GOOD
7.4,0.31,0.26,8.6,0.048,47,206,2,3.26,0.36,9.1,BAD
6.2,0.24,0.29,13.3,0.039,49,130,2,3.33,0.46,11,GOOD
7,0.21,0.34,8.5,0.033,31,253,2,3.22,0.56,10.5,GOOD
11.9,0.58,0.58,1.9,0.071,5,18,2,3.09,0.63,10,GOOD
6.4,0.3,0.38,7.8,0.046,35,192,2,3.1,0.37,9,BAD
6.8,0.62,0.08,1.9,0.068,28,38,2,3.42,0.82,9.5,GOOD
7.6,0.48,0.33,7,0.024,14,130,2,3.25,0.45,12.5,GOOD
6.3,0.27,0.18,7.7,0.048,45,186,2,3.23,0.47,9,BAD
7,0.15,0.28,14.7,0.051,29,149,2,2.96,0.39,9,GOOD
7.1,0.26,0.31,2.2,0.044,29,128,2,3.34,0.64,10.9,GOOD
6.9,0.27,0.25,7.5,0.03,18,117,2,3.09,0.38,13,GOOD
6.4,0.27,0.29,10.8,0.028,17,118,2,3.18,0.37,11.2,GOOD
7.5,0.33,0.39,12.4,0.065,29,119,2,3.16,0.39,9.4,BAD
7.4,0.34,0.3,14.9,0.037,70,169,2,3.25,0.37,10.4,GOOD
11.6,0.475,0.4,1.4,0.091,6,28,2,3.07,0.65,10.0333333333333,GOOD
7.3,0.43,0.24,2.5,0.078,27,67,2,3.6,0.59,11.1,GOOD
6.8,0.18,0.28,8.5,0.047,52,242,2,3.22,0.53,10.5,GOOD
8.3,0.17,0.31,1.5,0.049,48,153,2,3.12,0.58,9.4,GOOD
7.3,0.26,0.31,1.6,0.04,39,173,2,3.19,0.51,11.4,GOOD
6.2,0.22,0.28,2.2,0.04,24,125,2,3.19,0.48,10.5,GOOD
7.1,0.47,0,2.2,0.067,7,14,2,3.4,0.58,10.9,BAD
9.4,0.685,0.26,2.4,0.082,23,143,2,3.28,0.55,9.4,BAD
6.6,0.26,0.38,6.5,0.17,68,201,2,3.19,0.38,9.4,GOOD
7.6,0.26,0.58,7.9,0.041,62,180,2,3.07,0.38,9,BAD
10.7,0.43,0.39,2.2,0.106,8,32,2,2.89,0.5,9.6,BAD
9.2,0.25,0.34,1.2,0.026,31,93,2,2.93,0.37,11.3,GOOD
7.3,0.27,0.37,9.7,0.042,36,130,2,3.48,0.75,9.9,GOOD
6.6,0.3,0.24,1.2,0.034,17,121,2,3.13,0.36,9.2,BAD
5.8,0.415,0.13,1.4,0.04,11,64,2,3.29,0.52,10.5,BAD
6.8,0.18,0.28,9.8,0.039,29,113,2,3.11,0.45,10.9,GOOD
7.2,0.415,0.36,2,0.081,13,45,2,3.48,0.64,9.2,BAD
6.5,0.36,0.31,13.55,0.053,20,113,2,3.2,0.56,11,GOOD
6.6,0.44,0.09,2.2,0.063,9,18,2,3.42,0.69,11.3,GOOD
6.8,0.25,0.24,1.6,0.045,39,164,2,3.53,0.58,10.8,BAD
7.5,0.755,0,1.9,0.084,6,12,2,3.34,0.49,9.7,BAD
10.7,0.4,0.37,1.9,0.081,17,29,2,3.12,0.65,11.2,GOOD
6.7,0.21,0.34,1.5,0.035,45,123,1,3.24,0.36,12.6,GOOD
8.2,0.22,0.36,6.8,0.034,12,90,2,3.01,0.38,10.5,GOOD
8.2,0.24,0.3,2.3,0.05,23,106,2,2.98,0.5,10,BAD
7.8,0.24,0.38,2.1,0.058,14,167,2,3.21,0.55,9.9,BAD
8.2,0.21,0.48,1.4,0.041,11,99,2,3.17,0.57,9.9,BAD
6.5,0.63,0.33,1.8,0.059,16,28,2,3.36,0.64,10.1,GOOD
6.6,0.58,0.3,5.1,0.057,30,123,2,3.24,0.38,9,BAD
7.7,0.2,0.44,13.9,0.05,44,130,2,3.11,0.48,10,GOOD
7.1,0.44,0.23,5.8,0.035,24,100,2,3.15,0.57,13.2,GOOD
6.2,0.23,0.38,1.6,0.044,12,113,2,3.3,0.73,11.4,BAD
7,0.36,0.21,2.4,0.086,24,69,2,3.4,0.53,10.1,GOOD
5.7,0.25,0.27,11.5,0.04,24,120,2,3.33,0.31,10.8,GOOD
6.3,0.36,0.3,4.8,0.049,14,85,2,3.28,0.39,10.6,BAD
8.7,0.23,0.32,13.4,0.044,35,169,2,3.12,0.47,8.8,GOOD
9,0.62,0.04,1.9,0.146,27,90,2,3.16,0.7,9.4,BAD
6,0.615,0.04,0.8,0.032,8,50,2,3.14,0.4,11,BAD
6.5,0.52,0.17,1.4,0.047,5,26,2,3.26,0.32,10,BAD
6.9,0.32,0.26,8.3,0.053,32,180,2,3.25,0.51,9.2,GOOD
7.9,0.66,0,1.4,0.096,6,13,2,3.43,0.58,9.5,BAD
6.9,0.36,0.35,8.6,0.038,37,125,2,3,0.32,12.4,GOOD
6.6,0.19,0.43,10.9,0.045,53,154,2,3.52,0.77,10.4,GOOD
6.6,0.24,0.33,10.1,0.032,8,81,2,3.19,0.51,9.8,GOOD
8.4,0.23,0.32,1.3,0.048,59,113,2,3.1,0.55,11,GOOD
7.1,0.26,0.32,16.2,0.044,31,170,2,3.17,0.37,11.2,BAD
6.6,0.28,0.3,7.8,0.049,57,202,2,3.24,0.39,9.5,BAD
6.8,0.28,0.44,9.3,0.031,35,137,2,3.16,0.36,10.4,GOOD
7.4,0.18,0.42,2.1,0.036,33,187,2,3.4,0.41,10.6,GOOD
10.2,0.23,0.37,2.2,0.057,14,36,2,3.23,0.49,9.3,BAD
7.5,0.42,0.32,2.7,0.067,7,25,2,3.24,0.44,10.4,BAD
6.2,0.16,0.32,1.1,0.036,74,184,2,3.22,0.41,11,GOOD
13,0.47,0.49,4.3,0.085,6,47,3,3.3,0.68,12.7,GOOD
6.8,0.39,0.34,7.4,0.02,38,133,2,3.18,0.44,12,GOOD
6.6,0.16,0.35,1.8,0.042,26,105,1,3.19,0.75,12.4,GOOD
6.2,0.3,0.2,6.6,0.045,42,170,2,3.36,0.45,10.4,GOOD
6.9,0.12,0.36,2.2,0.037,18,111,2,3.41,0.82,11.9,GOOD
6,0.64,0.05,1.9,0.066,9,17,2,3.52,0.78,10.6,BAD
5.8,0.19,0.25,10.8,0.042,33,124,2,3.22,0.41,9.2,GOOD
7.1,0.685,0.35,2,0.088,9,92,2,3.28,0.62,9.4,BAD
5.9,0.21,0.28,4.6,0.053,40,199,2,3.72,0.7,10,BAD
7.6,0.31,0.27,8.8,0.021,57,156,2,3.08,0.38,11,GOOD
7.5,0.41,0.15,3.7,0.104,29,94,2,3.14,0.58,9.1,BAD
6.6,0.21,0.3,9.9,0.041,64,174,2,3.07,0.5,10.1,GOOD
7.8,0.32,0.31,1.7,0.036,46,195,2,3.03,0.48,10.5,BAD
7.2,0.35,0.34,12.4,0.051,6,37,2,3.13,0.39,11.5,GOOD
7.4,0.55,0.19,1.8,0.082,15,34,2,3.49,0.68,10.5,BAD
6.4,0.17,0.27,9.9,0.047,26,101,2,3.34,0.5,9.9,GOOD
11.1,0.39,0.54,2.7,0.095,21,101,3,3.13,0.51,9.5,BAD
7.6,0.29,0.49,2.7,0.092,25,60,2,3.31,0.61,10.1,GOOD
7,0.22,0.26,2.8,0.036,44,132,2,3.34,0.41,12,GOOD
6.2,0.12,0.26,5.7,0.044,56,158,2,3.52,0.37,10.5,GOOD
8.9,0.62,0.19,3.9,0.17,51,148,2,3.17,0.93,9.2,BAD
9.9,0.44,0.46,2.2,0.091,10,41,2,3.18,0.69,11.9,GOOD
6.6,0.23,0.27,5.6,0.043,43,164,2,3.27,0.76,9.5,BAD
7.8,0.3,0.74,1.8,0.033,33,156,2,3.29,0.52,12.8,GOOD
6.7,0.11,0.34,8.8,0.043,41,113,2,3.42,0.4,9.3,GOOD
6.8,0.25,0.27,10.7,0.076,47,154,2,3.05,0.38,9,BAD
7.7,0.96,0.2,2,0.047,15,60,2,3.36,0.44,10.9,BAD
6.4,0.37,0.25,1.9,0.074,21,49,2,3.57,0.62,9.8,GOOD
7.7,0.28,0.29,4.3,0.051,25,142,2,3.16,0.39,10.2,BAD
7.7,0.58,0.01,1.8,0.088,12,18,2,3.32,0.56,10.5,GOOD
6.4,0.24,0.49,5.8,0.053,25,120,2,3.01,0.98,10.5,GOOD
7.3,0.3,0.22,6.4,0.056,44,168,2,3.13,0.35,10.1,GOOD
6.3,0.3,0.19,7.7,0.049,47,184,2,3.22,0.48,9.5,BAD
6.3,0.35,0.3,5.7,0.035,8,97,2,3.27,0.41,11,GOOD
7.5,0.32,0.26,1.8,0.042,13,133,2,3.07,0.38,9.5,BAD
6.8,0.24,0.29,9.5,0.042,56,157,2,3.11,0.51,10.1,GOOD
6.7,0.15,0.32,7.9,0.034,17,81,2,3.29,0.31,10,GOOD
6.9,0.18,0.36,1.3,0.036,40,117,2,3.27,0.95,9.5,GOOD
7.7,0.3,0.42,14.3,0.045,45,213,2,3.18,0.63,9.2,BAD
7.9,0.28,0.41,4.9,0.058,31,153,2,3.27,0.51,9.7,GOOD
7.2,0.2,0.31,10,0.054,49,165,2,3.4,0.42,9.9,GOOD
6.2,0.37,0.24,6.1,0.032,19,86,1,3.04,0.26,13.4,GOOD
6.5,0.24,0.19,1.2,0.041,30,111,2,2.99,0.46,9.4,GOOD
7.2,0.23,0.32,8.5,0.058,47,186,2,3.19,0.4,9.9,GOOD
7.4,0.24,0.42,14,0.066,48,198,2,2.89,0.42,8.9,GOOD
6.9,0.74,0.03,2.3,0.054,7,16,2,3.45,0.63,11.5,GOOD
6.8,0.48,0.08,1.8,0.074,40,64,2,3.12,0.49,9.6,BAD
7.5,0.63,0.27,2,0.083,17,91,2,3.26,0.58,9.8,GOOD
5.8,0.2,0.34,1,0.035,40,86,1,3.5,0.42,11.7,BAD
12.5,0.6,0.49,4.3,0.1,5,14,3,3.25,0.74,11.9,GOOD
5.9,0.54,0,0.8,0.032,12,82,2,3.25,0.36,8.8,BAD
7,0.39,0.24,1,0.048,8,119,2,3,0.31,10.1,BAD
5.8,1.01,0.66,2,0.039,15,88,2,3.66,0.6,11.5,GOOD
6.7,0.36,0.26,7.9,0.034,39,123,2,2.99,0.3,12.2,GOOD
5.5,0.12,0.33,1,0.038,23,131,2,3.25,0.45,9.8,BAD
7.2,0.29,0.53,18.15,0.047,59,182,2,3.09,0.52,9.6,BAD
4.2,0.215,0.23,5.1,0.041,64,157,2,3.42,0.44,8,BAD
5.9,0.395,0.13,2.4,0.056,14,28,2,3.62,0.67,12.4,GOOD
6.3,0.26,0.25,5.2,0.046,11,133,2,2.97,0.68,11,GOOD
5.6,0.22,0.32,1.2,0.024,29,97,1,3.2,0.46,13.05,GOOD
4.9,0.42,0,2.1,0.048,16,42,2,3.71,0.74,14,GOOD
6.1,0.33,0.32,7.8,0.052,52,183,2,3.39,0.65,9.5,BAD
8.5,0.46,0.31,2.25,0.078,32,58,2,3.33,0.54,9.8,BAD
8.3,0.16,0.37,7.9,0.025,38,107,2,2.93,0.37,11.9,GOOD
6.4,0.19,0.42,2.9,0.032,32,83,2,3.3,0.41,11.7,GOOD
6,0.25,0.28,7.7,0.053,37,132,2,3.06,0.5,9.4,GOOD
6.1,0.2,0.34,9.5,0.041,38,201,2,3.14,0.44,10.1,BAD
6.9,0.31,0.32,1.2,0.024,20,166,2,3.05,0.54,9.8,GOOD
7.2,0.37,0.15,2,0.029,27,87,2,3.3,0.59,12.6,GOOD
8.6,0.17,0.28,2.7,0.047,38,150,2,3.1,0.56,10.8,GOOD
11,0.26,0.68,2.55,0.085,10,25,2,3.18,0.61,11.8,BAD
9.9,0.72,0.55,1.7,0.136,24,52,2,3.35,0.94,10,BAD
6.2,0.25,0.31,3.2,0.03,32,150,2,3.18,0.31,12,GOOD
8.2,0.37,0.36,1,0.034,17,93,2,3.04,0.32,11.7,GOOD
6.2,0.25,0.47,11.6,0.048,62,210,2,3.19,0.5,9.5,BAD
7.8,0.26,0.49,3.2,0.027,28,87,2,3.03,0.32,11.3,GOOD
9.1,0.28,0.49,2,0.059,10,112,2,3.15,0.46,10.1,BAD
7,0.31,0.52,1.7,0.029,5,61,2,3.07,0.43,10.4,BAD
7.5,0.27,0.31,17.7,0.051,33,173,2,3.09,0.64,10.2,BAD
6.9,0.24,0.23,7.1,0.041,20,97,2,3.1,0.85,11.4,GOOD
7.1,0.17,0.31,1.6,0.037,15,103,2,3.14,0.5,12,GOOD
7.3,0.19,0.24,6.3,0.054,34,231,2,3.36,0.54,10,GOOD
6.8,0.18,0.37,1.6,0.055,47,154,2,3.08,0.45,9.1,BAD
6.1,0.28,0.24,19.95,0.074,32,174,2,3.19,0.44,9.3,GOOD
6.6,0.25,0.3,14.4,0.052,40,183,2,3.02,0.5,9.1,GOOD
8.6,0.18,0.4,1.1,0.04,20,107,2,2.94,0.32,10.2,GOOD
4.8,0.225,0.38,1.2,0.074,47,130,2,3.31,0.4,10.3,GOOD
8,0.25,0.27,9.7,0.036,15,85,2,2.99,0.36,11.2,GOOD
6.6,0.2,0.27,10.9,0.038,29,130,2,3.11,0.44,10.5,GOOD
6.8,0.28,0.43,7.6,0.03,30,110,2,3.08,0.59,12.5,GOOD
12.6,0.39,0.49,2.5,0.08,8,20,2,3.07,0.82,10.3,GOOD
7.1,0.15,0.34,1,0.033,27,73,1,3.24,0.41,12.2,GOOD
7.3,0.66,0,2,0.084,6,23,2,3.61,0.96,9.9,GOOD
7.1,0.32,0.29,4,0.038,33,170,2,3.27,0.64,10.2,GOOD
5.5,0.42,0.09,1.6,0.019,18,68,2,3.33,0.51,11.4,GOOD
7.3,0.4,0.26,5.45,0.016,26,90,1,2.84,0.54,13.2,GOOD
6.3,0.21,0.33,13.9,0.046,68,179,2,3.36,0.5,10.4,GOOD
6.2,0.27,0.43,7.8,0.056,48,244,2,3.1,0.51,9,GOOD
9.4,0.23,0.56,16.45,0.063,52.5,282,3,3.1,0.51,9.3,BAD
5.5,0.14,0.27,4.6,0.029,22,104,2,3.34,0.44,9,BAD
6.3,0.17,0.32,4.2,0.04,37,117,2,3.24,0.43,11.3,GOOD
7.2,0.24,0.19,7.7,0.045,53,176,2,3.17,0.38,9.5,BAD
7.7,1.005,0.15,2.1,0.102,11,32,2,3.23,0.48,10,BAD
6.5,0.35,0.36,0.8,0.034,32,111,1,3.11,0.5,12.1,GOOD
6.6,0.2,0.27,10.9,0.038,29,130,2,3.11,0.44,10.5,GOOD
5.6,0.39,0.24,4.7,0.034,27,77,2,3.28,0.36,12.7,BAD
6.1,0.28,0.25,6.9,0.056,44,201,2,3.19,0.4,9.1,GOOD
7.5,0.26,0.26,18.35,0.084,33,139,3,3.17,0.39,8.8,BAD
6.7,0.42,0.46,9.7,0.054,67,234,2,3.23,0.5,9,BAD
10.1,0.31,0.35,1.6,0.075,9,28,2,3.24,0.83,11.2,GOOD
6.4,0.29,0.21,9.65,0.041,36,119,2,2.99,0.34,10.9333333333333,GOOD
6.2,0.24,0.25,12.5,0.055,47,134,2,3.3,0.51,9,BAD
8.5,0.37,0.2,2.8,0.09,18,58,2,3.34,0.7,9.6,GOOD
7.1,0.12,0.32,9.6,0.054,64,162,2,3.4,0.41,9.4,BAD
6.2,0.37,0.3,6.6,0.346,79,200,2,3.29,0.58,9.6,BAD
7.6,0.17,0.35,1.6,0.047,43,154,2,3.36,0.69,11.1,GOOD
7.4,0.32,0.22,11.7,0.035,44,150,2,3.1,0.45,10.4,BAD
7.4,0.22,0.33,2,0.045,31,101,2,3.42,0.55,11.4,BAD
9.7,0.14,0.59,1.5,0.049,23,142,2,2.98,0.62,9.5,BAD
7.2,0.24,0.27,11.4,0.034,40,174,2,3.2,0.44,9,BAD
6.7,0.46,0.24,1.7,0.077,18,34,2,3.39,0.6,10.6,GOOD
7,0.16,0.73,1,0.138,58,150,2,3.08,0.3,9.2,BAD
12.7,0.6,0.49,2.8,0.075,5,19,2,3.14,0.57,11.4,BAD
6.5,0.23,0.38,1.3,0.032,29,112,2,3.29,0.54,9.7,BAD
7.4,0.2,0.43,7.8,0.045,27,153,2,3.19,0.55,9,GOOD
6.3,0.32,0.17,17.75,0.06,51,190,2,3.13,0.48,8.8,GOOD
6.4,0.35,0.21,2.1,0.051,46,171,2,3.16,0.5,9.5,BAD
6.4,0.32,0.23,16.2,0.055,36,176,2,3.26,0.54,9.1,BAD
7.2,0.17,0.37,6.9,0.059,47,128,2,3.08,0.46,11,GOOD
6.6,0.58,0,2.2,0.1,50,63,2,3.59,0.68,11.4,GOOD
7,0.36,0.32,10.5,0.045,35,135,2,3.09,0.33,11.6,GOOD
6.1,0.24,0.27,11.5,0.05,51,133,2,3.22,0.37,10.8,GOOD
6.8,0.16,0.29,10.4,0.046,59,143,2,3.2,0.4,10.8,GOOD
5.5,0.34,0.26,2.2,0.021,31,119,1,3.55,0.49,13,GOOD
7,0.2,0.38,8.1,0.05,42,173,2,3.3,0.54,9.8,GOOD
5.8,0.275,0.3,5.4,0.043,41,149,2,3.33,0.42,10.8,GOOD
8.1,0.66,0.22,2.2,0.069,9,23,2,3.3,1.2,10.3,BAD
7.5,0.27,0.31,5.8,0.057,131,313,2,3.18,0.59,10.5,BAD
9.8,0.39,0.43,1.65,0.068,5,11,2,3.19,0.46,11.4,BAD
6.7,0.28,0.34,8.9,0.048,32,111,2,3.25,0.54,11,GOOD
6.9,0.41,0.22,4.2,0.031,10,102,2,3,0.86,11.6,BAD
7.8,0.56,0.19,1.8,0.104,12,47,2,3.19,0.93,9.5,BAD
7.8,0.4,0.26,9.5,0.059,32,178,2,3.04,0.43,10.9,GOOD
6.6,0.12,0.25,1.4,0.039,21,131,2,3.2,0.45,11.2,GOOD
7.1,0.69,0.04,2.1,0.068,19,27,2,3.44,0.67,9.8,BAD
7.6,0.51,0.24,1.2,0.04,10,104,2,3.05,0.29,10.8,GOOD
5.7,0.27,0.16,9,0.053,32,111,2,3.36,0.37,10.4,GOOD
8.8,0.33,0.36,2.1,0.034,19,125,2,2.96,0.98,12.7,GOOD
7.2,0.37,0.4,11.6,0.032,34,214,2,3.1,0.51,9.8,GOOD
7.1,0.28,0.28,8.5,0.03,25,191,2,3.16,0.46,12.2,GOOD
6.6,0.26,0.56,15.4,0.053,32,141,2,3.11,0.49,9.3,BAD
7.2,0.57,0.06,1.6,0.076,9,27,2,3.36,0.7,9.6,GOOD
6.3,0.36,0.19,3.2,0.075,15,39,2,3.56,0.52,12.7,GOOD
7.2,0.56,0.26,2,0.083,13,100,2,3.26,0.52,9.9,BAD
6.4,0.33,0.44,8.9,0.055,52,164,2,3.1,0.48,9.6,BAD
7.8,0.88,0,2.6,0.098,25,67,2,3.2,0.68,9.8,BAD
6.5,0.18,0.41,14.2,0.039,47,129,2,3.28,0.72,10.3,GOOD
6.2,0.25,0.54,7,0.046,58,176,2,3.19,0.7,10.4,BAD
6.3,0.23,0.22,17.45,0.054,42,151,2,3.12,0.6,9.3,GOOD
9.9,0.59,0.07,3.4,0.102,32,71,3,3.31,0.71,9.8,BAD
7.3,0.19,0.49,15.55,0.058,50,134,2,3.42,0.36,9.1,GOOD
8,0.5,0.39,2.6,0.082,12,46,2,3.43,0.62,10.7,GOOD
8.1,0.725,0.22,2.2,0.072,11,41,2,3.36,0.55,9.1,BAD
7.5,0.49,0.2,2.6,0.332,8,14,2,3.21,0.9,10.5,GOOD
7.8,0.28,0.34,1.6,0.028,32,118,2,3,0.38,12.1,GOOD
7.1,0.44,0.62,11.8,0.044,52,152,2,3.12,0.46,8.7,GOOD
7,0.22,0.31,2.7,0.03,41,136,1,3.16,0.37,12.7,GOOD
7.8,0.57,0.31,1.8,0.069,26,120,2,3.29,0.53,9.3,BAD
7.2,0.24,0.29,3,0.036,17,117,2,3.36,0.68,10.1,GOOD
